char	pengim	annot
匄	gai3	
句	gu3	
句	gau1	
匆	cong1	
怱	cong1	
悤	cong1	
包	bau1	
旬	sung5	
匈	heng1	
匈	hiong1	又
甸	diang6	
匋	tau5	
匋	iau5	
訇	hong1	
匍匐	pou2 pek4	
匐	pek4	bound
匏	pau5	
夠	gou3	文
夠	gau3	白
幾	gi1	文
幾	gui2	白
幾	gua3	又、白
幾	gi2	
凡	huang5	
凡	huang6	
鳳	hong6	
夙	sok4	
鳧	hu5	
凱	kai2	
憑	peng5	
凴	peng5	
凰	huang5	
凰	uang5	又
凳	deng3	
櫈	deng3	
兒	ri5	
兀	uk4	
元	nguang5	
允	rung2	
兄	hian1	
充	cong1	
光	guang1	文
光	gvng1	白
先	soin1	白
先	sing1	文
兌	due6	
兌	dui3	
克	kiok4	
剋	kiok4	
兕	si2	
免	miang2	文
免	ming2	白
兔	tou3	
黨	dang2	
兜	dau1	
兢	keng1	
𠓗	hu7	
ㄙ	sv1	
去	kv3	
弁	biang6	
矣	i7	
叄	san1	
參	cam1	
參	siam1	
參差	cam1 ci1	
參差	cam1 ca1	
畚	bung3	
能	leng5	
又	iu7	
又	iu6	又
叉	ce1	
扠	ce1	
雙	sang1	
聖	sian3	
聖	seng3	方
取	cu2	
叔	zek4	白
叔	sok4	文
受	siu6	
叟	sou2	
敘	su6	
難	lang5	
難	lang7	
疊	tah8	
𠭴	dih4	方
聚	zu6	
燮	siap8	
廷	teng5	
延	iang6	
建	giang6	
衛	ue6	
印	ing3	
卯	bhau2	
卻	kiak4	
邵	siau6	文
即	ziak4	
巹	gvng2	
卸	sia3	
卿	keng1	
隊	dui7	
阡	ciang1	
防	huang5	
阱	zen2	
阮	nguang2	
阮	uang2	方
阫	bui1	
陣	ding7	文
陣	zung7	白
陽	iang5	文
陽	ion5	文
陰	im1	
階	gai1	
阪	bang2	
陀螺	to5 lo5	
陸	lek8	白
陸	lok8	文
陸	lak8	
際	zi3	
阿	a1	
阿	o1	
阿訇	a1 hong1	
隴	leng2	
陳	ting5	
陳	dang5	
陳	cing5	方
陳	ding5	方
阽	diam3	
阽	iam5	又
阻	zo2	
阼	zu6	
陂	bi1	
陂	pi5	
陂陀	bo1 to5	
陘	heng5	
附	hu3	
陔	gai1	
陝	siam2	
陋	lou6	
陌	mek8	
降	gang3	
降	hang5	
限	hang6	
院	in7	
陡	dau2	
陟	tek4	
隲	tek4	
陧	niap4	
隕	ung6	
隕	ung7	又
隕	ung5	俗
險	hiam2	
除	dv5	
陛	bi6	
陛	bi2	俗
陪	bue5	
陵	leng5	
陼	zu2	
陬	zu1	
陬	zou1	又
陲	sui5	
陶	tau5	+姓
陶	iau5	
陷	ham7	
隋	sui5	
隨	sui5	
隅	ngo5	
隅	ngou2	俗
隈	ui1	
隃	ru5	
隍	huang5	白
隍	vn5	白
隗	ngui5	
隗	kui5	
隗	huai5	又
隆	long5	
恩	vng2	
隘	ai2	
隘	ek4	又
隔	geh4	
隙	kiah4	
障	ziang3	
隧	sui5	
隰	sip4	
隳	hui1	
鄧	deng6	
邗	hang5	
邘	u1	
邛崍	kiong5 lai5	
邡	huang1	
鄺	kuang3	
邙	mang5	
祁	ki5	
邦	bang1	
邢	hian5	
邪	sia5	
邷	ua1	
邠	bing1	
鄔	u1	
那	na2	
邲	bik4	
邯鄲	ham1 dang1	
邴	bian2	白
邴	beng2	文
邳	pi1	
邳	pi2	又
鄴	ngiap8	
邶	bue6	
郵	iu5	
鄰	ling5	
鄒	zou1	
邱	kiu1	文
邱	ku1	白
邸	di2	
邰	tai5	
邵	sien7	
邵	siau6	又
郊	gau1	
鄭	den7	
郎	nvng5	白
郎	lang5	文
鄆	ung7	
郟	giap4	
邽	gui1	
耶	e7	
耶	ia7	又
耶	ia5	
郁	hiok4	
鬱	uk4	
郅	diak4	
鄶	guai3	
郃	kap4	
郃	hah8	又
郄	kiak4	
邾	zu1	
郇	sung5	
郇	huang5	
郝	hak4	
郝	kak4	又
酈	leh8	
酈	li6	
郚	u5	
郢	teng2	
鄖	ung5	
郛	hu1	
郗	hi1	
郤	kiah4	
郜	gau3	
郡	gung6	
